,Date,Pptn,avg_temp,ET,streamflow_mm
0,1980-01-31,12.961372420718947,21.060974462365593,47.66267345985397,2.252015197659554
1,1980-02-29,20.807545666767613,23.6494540229885,45.440300158225,1.3608977777916125
2,1980-03-31,80.7610528798037,27.28027553763441,36.35735472198576,4.241878402673397
3,1980-04-30,29.72874484584088,31.711673611111113,42.21196740400046,2.155128605700758
4,1980-05-31,104.60828816795477,32.975504032258065,65.52122917491944,1.9368347411022355
5,1980-06-30,330.7261826540466,29.165381944444448,59.21207321807742,69.91912612065188
6,1980-07-31,298.6563938424344,28.019005376344086,72.6696598576382,103.02314149310848
7,1980-08-31,159.88713755160774,28.186014784946238,74.86457184422761,63.55212205896455
8,1980-09-30,231.33784123087938,27.98745138888889,82.47613557614386,80.24033913604852
9,1980-10-31,68.17190743248355,26.68396505376344,89.30472792126238,22.951456794914193
10,1980-11-30,2.8844427827966266,22.866875,79.10757232457401,7.205790760589869
11,1980-12-31,0.601798730304931,20.75217069892473,53.66765339858829,3.9352702165980267
12,1981-01-31,11.11640341175016,19.178521505376338,41.26880548428744,3.74937156021618
13,1981-02-28,39.1437444178383,22.978169642857146,37.596254283562295,5.249419216993883
14,1981-03-31,46.17629054070137,26.061901881720427,48.62776097143068,1.9904612703963025
15,1981-04-30,100.29086628277749,29.27254861111112,48.04894980043173,1.9864741678465572
16,1981-05-31,180.8028111870566,29.82940860215054,90.321880672127,12.325230434462075
17,1981-06-30,259.9387585617672,29.733659722222228,77.26224814541638,71.15532726620022
18,1981-07-31,245.81850191417806,27.906115591397853,76.51638784445822,90.77864988527874
19,1981-08-31,345.72431933158094,28.12594086021505,78.09318182989955,131.98764732085644
20,1981-09-30,280.95099757114633,27.84133333333334,85.70555504411459,121.53755121553928
21,1981-10-31,25.277682907105078,26.62318548387097,94.27930007223041,45.742133679509905
22,1981-11-30,0.20177758414891125,23.018847222222227,70.6952386535704,12.903559659302545
23,1981-12-31,10.144321228366966,19.52581989247312,47.54890945041553,5.279621518808199
24,1982-01-31,7.8671006668002095,21.40818548387097,32.91526426328346,3.5432383583943787
25,1982-02-28,61.835894490189155,22.72362351190477,45.57040762156248,3.964376065211164
26,1982-03-31,118.13538299485302,25.4637567204301,42.621712444815785,6.571243389797997
27,1982-04-30,70.96182014835206,29.692055555555548,49.20250608120114,3.2035372211561297
28,1982-05-31,70.3799323888623,31.912983870967746,38.2153334794566,1.6401943114012292
29,1982-06-30,292.06097735202513,30.053152777777786,77.70799985155462,56.99254094412456
30,1982-07-31,176.16175220833787,29.62860215053764,70.13896442949772,19.703762413019632
31,1982-08-31,388.46353872117294,27.41717741935484,76.89217349980026,164.74488444904898
32,1982-09-30,133.18606018558592,28.36657638888888,87.63605402782558,80.31948312166094
33,1982-10-31,22.64128542362243,27.20766129032258,83.98461537435652,8.977659133696418
34,1982-11-30,5.933386035060142,23.73089583333334,70.40279405191541,5.346804196771396
35,1982-12-31,0.0,20.822842741935478,54.24653895897791,3.7295357250312007
36,1983-01-31,2.86799762553342,20.281989247311827,34.043874952476465,2.189417687628564
37,1983-02-28,88.93040773865143,22.157879464285717,50.42908675968647,3.4754576150487186
38,1983-03-31,46.65687007412996,27.05576612903225,51.79211277281866,2.924340365110257
39,1983-04-30,63.09697729981211,30.010340277777782,52.68491338938475,2.443794830302275
40,1983-05-31,134.44969110917262,30.721290322580646,79.14584807585925,8.31041752199664
41,1983-06-30,144.22800863059882,31.201993055555548,80.24241076782346,7.211771414414483
42,1983-07-31,192.81246548400043,28.68995295698925,79.55618582200259,28.77780975085612
43,1983-08-31,416.83588185886566,27.811586021505374,80.14142119791359,158.46968342356953
44,1983-09-30,418.56763634189065,27.63425694444444,79.77703912183642,273.9825233313171
45,1983-10-31,100.17608299889956,26.062580645161287,89.5488141803071,80.91914334514253
46,1983-11-30,0.5775736751837329,22.457604166666673,73.1607126072049,8.25888422154119
47,1983-12-31,6.046363184998097,18.883602150537637,51.4525649137795,5.173464913421245
48,1984-01-31,14.761634504109061,19.62800403225807,39.969236974138774,3.961286060735112
49,1984-02-29,9.176892313572887,21.501465517241375,40.15491572208703,2.5787582516111334
50,1984-03-31,5.94363934253879,27.087405913978486,21.531824930571016,1.1074177331915929
51,1984-04-30,38.36856850729354,30.86113888888889,19.35499836690724,1.1813784854893572
52,1984-05-31,70.84413911132658,32.19393817204301,44.6456438745372,1.395784925101878
53,1984-06-30,419.52985969751745,28.555430555555557,72.37096759490669,81.85800631804369
54,1984-07-31,311.9013091391705,27.61233870967742,72.80185944400728,102.98636047208707
55,1984-08-31,479.8238209641197,27.188104838709673,75.94530070200562,333.6231981114184
56,1984-09-30,164.07659460687398,27.30752083333334,80.38462861441076,109.08074639693564
57,1984-10-31,85.81885775211384,26.334099462365607,80.18515859730542,28.87599215114359
58,1984-11-30,0.0,21.592875,72.84253765828906,7.745345413134072
59,1984-12-31,0.0,19.933716397849462,48.819330520927906,4.735880408586763
60,1985-01-31,30.3182967406106,20.48217069892473,34.381743601989,4.269588765394122
61,1985-02-28,37.91161417535546,22.111800595238094,31.209991732612252,3.1168177406991817
62,1985-03-31,1.144358917250998,27.944274193548388,20.03605524078011,1.3548174464032514
63,1985-04-30,47.020704170620995,30.81142361111112,20.129720389377326,0.8439699322172112
64,1985-05-31,120.04928806022363,30.602909946236558,31.585369294043627,6.066675562127804
65,1985-06-30,243.26560230657037,29.939611111111113,71.7005766928196,24.2671009587662
66,1985-07-31,255.21472819703718,27.11576612903225,72.0592915546149,92.45303360104408
