,Date,Pptn,PET,S,G,ET,streamflow_mm
0,1980-01-31,12.961372420718947,208.292995125,239.454687733804,626.1300191161453,47.66267345985397,2.252015197659554
1,1980-02-29,20.807545666767613,230.2466273296875,234.43822240281375,600.7919671508087,45.440300158225,1.3608977777916125
2,1980-03-31,80.7610528798037,321.436800646875,219.0744626855337,575.2597703010805,36.35735472198576,4.241878402673397
3,1980-04-30,29.72874484584088,370.0583364375,216.5014461305406,551.8334947374133,42.21196740400046,2.155128605700758
4,1980-05-31,104.60828816795477,438.0762712781249,216.73838330340644,541.5627353217013,65.52122917491944,1.9368347411022355
5,1980-06-30,330.7261826540466,158.89195469531245,252.3126429875692,561.1822205013699,59.21207321807742,69.91912612065188
6,1980-07-31,298.6563938424344,108.51416692734377,313.47011422598234,743.8875689762897,72.6696598576382,103.02314149310848
7,1980-08-31,159.88713755160774,111.34796120859373,347.73563750072196,881.8341668241768,74.86457184422761,63.55212205896455
8,1980-09-30,231.33784123087938,115.00255399218752,388.6927523295085,989.8096448262537,82.47613557614386,80.24033913604852
9,1980-10-31,68.17190743248355,145.629590765625,374.4608991069178,982.6436824183307,89.30472792126238,22.951456794914193
10,1980-11-30,2.8844427827966266,168.815143828125,336.22971055772564,909.7241681416831,79.10757232457401,7.205790760589869
11,1980-12-31,0.601798730304931,177.2195604117187,294.37025685464187,802.6893253941687,53.66765339858829,3.9352702165980267
12,1981-01-31,11.11640341175016,201.523948565625,267.17965482896375,720.9920048867504,41.26880548428744,3.74937156021618
13,1981-02-28,39.1437444178383,220.7447069625,247.97249902997697,665.0818094526018,37.596254283562295,5.249419216993883
14,1981-03-31,46.17629054070137,287.8987141546875,238.36158684761293,623.8224068918537,48.62776097143068,1.9904612703963025
15,1981-04-30,100.29086628277749,336.0646816875,227.88569130367702,595.7037764655217,48.04894980043173,1.9864741678465572
16,1981-05-31,180.8028111870566,359.7461598656251,240.16425015849453,593.6845395488125,90.321880672127,12.325230434462075
17,1981-06-30,259.9387585617672,248.071907390625,236.99902674357102,593.5561518775093,77.26224814541638,71.15532726620022
18,1981-07-31,245.81850191417806,124.07531258671877,286.19282187184973,665.4669007742277,76.51638784445822,90.77864988527874
19,1981-08-31,345.72431933158094,118.26732381328124,326.69398352920365,809.2531127109323,78.09318182989955,131.98764732085644
20,1981-09-30,280.95099757114633,117.11063341406252,359.93282839457186,916.1398072136772,85.70555504411459,121.53755121553928
21,1981-10-31,25.277682907105078,166.80833450859376,347.29782391619943,931.422839585171,94.27930007223041,45.742133679509905
